objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Forbidden Sky","245271","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57823701","6.08048","6.47815","2.6383","2271","9072","thing","Forbidden Sky","2","5","60","60","60","2018","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Friday","43570","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57832748","6.95713","7.1284","2.1496","459","33121","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fuji Flush","203430","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57832937","6.14222","6.575","1.04","2051","4117","thing","Fuji Flush","3","8","20","20","10","2016","4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Third/Fourth Edition)","181279","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57833954","7.19158","7.47939","3.2562","262","23418","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Get Bit!","30539","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829400","5.98182","6.1417","1.1232","2728","10923","thing","Get Bit!","3","6","20","20","20","2007","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ghostbusters: Protect the Barrier Game","201037","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829503","5.6365","6.58653","1.75","6451","576","thing","Ghostbusters: Protect the Barrier Game","2","4","30","30","30","2016","1,2,3,4","4","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Godfather: Corleone's Empire","195539","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","58746553","7.05854","7.54064","2.6265","367","10194","thing","The Godfather: Corleone's Empire","2","5","90","90","60","2017","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Good Cop Bad Cop","153064","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57831251","6.18665","6.60621","1.2647","1887","4857","thing","Good Cop Bad Cop","4","8","20","20","10","2014","4,5,6,7,8","6,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled","171668","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832798","6.93972","7.1637","1.973","481","21881","thing","The Grizzled","2","5","30","30","30","2015","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled: At Your Orders!","194562","7.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57832800","6.65179","7.64671","2.2353","0","7833","thing","The Grizzled: At Your Orders!","1","5","30","30","30","2016","1,2,3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Groundhog Day: The Game","318359","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","79179391","5.69901","7.18824","1.2","5190","589","thing","Groundhog Day: The Game","2","6","25","25","15","2021","2,3,4,5,6","5","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Guillotine","116","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832853","6.4011","6.53316","1.2672","1296","29965","thing","Guillotine","2","5","30","30","30","1998","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hammer Time","321756","7","","0","1","0","0","0","0","0","0","0","3","","","","","","97147551","5.58158","6.70279","1","8517","305","thing","Hammer Time","2","4","30","30","15","2020","2,3,4","2,3,4","4–6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","1.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57833109","6.96264","7.0632","1.694","453","72036","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Happy Salmon","194626","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57833512","6.35704","6.71792","1.0879","1400","9258","thing","Happy Salmon","3","6","2","2","2","2016","4,5,6","5,6","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Hit Z Road","176083","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824698","6.33869","6.7638","1.8434","1439","7162","thing","Hit Z Road","1","4","60","60","30","2016","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive","2655","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829554","7.18515","7.32085","2.3226","270","44804","thing","Hive","2","2","20","20","20","2000","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"HMS Dolores","194523","7","","0","1","0","0","0","0","0","0","0","3","","","","","","60304241","5.76297","6.1412","1.3182","4363","2562","thing","HMS Dolores","2","4","20","20","10","2016","3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Horrified","282524","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68075522","7.37057","7.73813","2.0478","161","24051","thing","Horrified","1","5","60","60","60","2019","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"ICECOOL","177524","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828287","6.58196","6.80463","1.0405","965","16249","thing","ICECOOL","2","4","30","30","30","2016","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"In a Flash Firefighters","296354","6","","0","1","0","0","0","0","0","0","0","3","","","","","","97147576","5.51882","6.33182","0","15350","119","thing","In a Flash Firefighters","2","4","15","15","15","2020","2,3,4","4","4+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Jamaica","28023","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57823818","6.88949","7.06514","1.6562","537","24944","thing","Jamaica","2","6","60","60","30","2007","3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaws","272738","7","1","0","1","0","0","0","0","0","0","0","3","","Only the first act is worth playing. But the first act is a very fun and short asymmetric hidden movement game.","","","","62701468","6.65504","7.18583","2.1923","845","12536","thing","Jaws","2","4","60","60","60","2019","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Just One","254640","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57825109","7.40875","7.61508","1.0514","146","31034","thing","Just One","3","7","20","20","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Kaosball: The Fantasy Sport of Total Domination","139992","6","","0","1","0","0","0","0","0","0","0","3","","","","","","58886862","5.82139","6.59451","2.5143","3783","1969","thing","Kaosball: The Fantasy Sport of Total Domination","2","4","60","60","30","2014","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kero","222219","0","","0","1","0","0","0","0","0","0","0","1","","","","","","68649774","6.11909","7.17496","1.9706","2134","2680","thing","Kero","2","2","30","30","30","2018","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"King of New York","160499","9","","0","1","0","0","0","0","0","0","0","1","","","","","","60304225","6.73559","6.92064","1.8578","716","23940","thing","King of New York","2","6","40","40","40","2014","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo","70323","8","","0","1","0","0","0","0","0","0","0","3","","","","","","52754172","7.06246","7.15869","1.4907","363","92015","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo: Power Up!","127067","9","","0","1","0","0","0","0","0","0","0","3","","","","","","52754174","7.28208","7.60793","1.7044","0","30099","thing","King of Tokyo: Power Up!","2","6","30","30","30","2012","3,4,5,6","4,5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdomino","204583","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829588","7.2189","7.33822","1.2163","248","67001","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingsport Festival","154509","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57829377","6.13056","6.67266","2.617","2087","4507","thing","Kingsport Festival","3","5","90","90","90","2014","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"KLASK","165722","8","","0","1","0","0","0","0","0","0","0","3","","","","","","90596157","7.21205","7.6399","1.0769","250","10821","thing","KLASK","2","2","10","10","10","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Libertalia","125618","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57823721","6.93573","7.1446","2.2367","487","14272","thing","Libertalia","2","6","60","60","40","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68075704","7.10459","7.20414","1.4864","330","58633","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57830355","7.13731","7.22958","1.1889","300","102053","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Adventure Time","175307","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57830365","6.28839","7.23856","1.0698","1574","3723","thing","Love Letter: Adventure Time","2","4","20","20","20","2015","3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Premium Edition","196326","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57830358","6.90165","7.44636","1.3125","525","9114","thing","Love Letter: Premium Edition","2","8","30","30","20","2016","3,4,5,6,7,8","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic Maze","209778","5.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57829523","6.83591","6.99765","1.7778","586","28473","thing","Magic Maze","1","8","15","15","15","2017","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824956","7.76055","8.00078","2.6661","47","48239","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Memoir '44","10630","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824916","7.3758","7.55452","2.2713","160","37281","thing","Memoir '44","2","8","60","60","30","2004","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mental Blocks","275089","6","","0","1","0","0","0","0","0","0","0","1","","","","","","79179533","5.8509","6.8643","1.4444","3556","1149","thing","Mental Blocks","2","9","20","20","10","2019","2,3,4,5,6,7","4,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Metro X","248861","8","","0","1","0","0","0","0","0","0","0","3","","","","","","79179441","6.2382","7.15044","1.7647","1724","2859","thing","Metro X","1","6","20","20","20","2018","1,2,3,4,5,6","1,2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MicroMacro: Crime City","318977","9","","0","1","0","0","0","0","0","0","0","3","","","","","","90596131","7.28813","7.63727","1.1184","205","20490","thing","MicroMacro: Crime City","1","4","45","45","15","2020","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Mind","244992","7.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","57829535","6.70144","6.82698","1.0722","774","43210","thing","The Mind","2","4","20","20","20","2018","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Castle Panic","267314","6","","0","1","0","0","0","0","0","0","0","3","","","","","","79179576","5.77244","6.7037","1.1053","4264","1442","thing","My First Castle Panic","1","4","20","20","20","2019","1,2,3,4","3","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My Little Scythe","226320","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824718","6.77173","7.2926","2","666","11018","thing","My Little Scythe","1","6","60","60","45","2017","1,2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"My Very First Games: Rhino Hero Junior","321711","7","","0","1","0","0","0","0","0","0","0","3","","","","","","97147671","5.51448","6.21521","1","16185","148","thing","My Very First Games: Rhino Hero Junior","1","4","20","20","10","2020","2","2","2–5","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57829609","7.12284","7.25987","1.905","315","59623","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mythe","139629","6","","0","1","0","0","0","0","0","0","0","3","","","","","","68075555","5.59464","5.93137","1.3846","7852","1124","thing","Mythe","2","5","20","20","20","2012","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"New York Slice","208895","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824740","6.28366","6.70485","1.4231","1589","5225","thing","New York Slice","2","6","30","30","30","2017","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"No Thanks!","12942","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57833525","6.94286","7.06551","1.1356","477","32595","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onirim (Second Edition)","156336","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57882580","6.77775","7.05754","1.5743","660","12666","thing","Onirim (Second Edition)","1","2","15","15","15","2014","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Outfoxed!","172931","9","","0","1","0","0","0","0","0","0","0","3","","","","","","79179568","6.5446","7.17195","1.1237","1031","6889","thing","Outfoxed!","2","4","20","20","20","2014","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","6","","0","1","0","0","0","0","0","0","0","3","","","","","","52754149","7.4691","7.57168","2.4058","122","177710","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","52754151","8.42471","8.57567","2.8288","3","74279","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 2","221107","6","","0","1","0","0","0","0","0","0","0","3","","","","","","61604906","7.76516","8.0796","3.2528","46","28440","thing","Pandemic Legacy: Season 2","2","4","60","60","60","2017","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic: In the Lab","137136","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57829475","7.20067","7.86869","2.8854","0","18870","thing","Pandemic: In the Lab","1","6","60","60","45","2013","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Pandemic: On the Brink","40849","4","","0","1","0","0","0","0","0","0","0","3","","","","","","57829464","7.76939","8.05725","2.6556","0","47233","thing","Pandemic: On the Brink","2","5","45","45","45","2009","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Parfum","172546","4.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832687","5.9493","6.4948","2.0694","2903","3342","thing","Parfum","2","4","45","45","45","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Paris: La Cité de la Lumière","276498","7","","0","1","0","0","0","0","0","0","0","3","","","","","","79179544","6.65671","7.37343","2.0366","840","6897","thing","Paris: La Cité de la Lumière","2","2","30","30","30","2019","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","6","","0","1","0","0","0","0","0","0","0","3","","","","","","52754143","7.51815","7.62303","1.6181","103","85512","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Perudo","45","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57830412","6.72013","6.91055","1.261","739","17972","thing","Perudo","2","6","30","30","15","1800","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Phantom Ink","330592","9","","0","1","0","0","0","0","0","0","0","3","","","","","","97147516","5.65471","7.70729","1.25","5993","348","thing","Phantom Ink","4","8","15","15","10","2022","4,6,8","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Piece of Pie","301009","7","","0","1","0","0","0","0","0","0","0","1","","","","","","79179413","5.55374","6.75169","2","10369","169","thing","Piece of Pie","2","4","15","15","15","2020","2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Power Grid: The Card Game","203780","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832741","6.10116","6.71489","2.4545","2191","4084","thing","Power Grid: The Card Game","2","6","60","60","45","2016","2,3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pups","200512","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57832848","5.60807","6.90946","1.6667","7318","335","thing","Pups","2","5","30","30","15","2016","4,5","4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Pyramid Arcade","187988","8.5","","0","1","0","0","0","0","0","0","0","1","","","","","","58789526","6.13927","7.8605","2.3333","0","2137","thing","Pyramid Arcade","1","10","180","180","5","2016","1,2,3,4,5,6,7","2,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pyramid Poker","213953","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824726","5.77492","6.39297","1.2727","4227","1206","thing","Pyramid Poker","2","2","30","30","10","2017","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Quacks of Quedlinburg","244521","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68075670","7.69398","7.84889","1.9485","60","54211","thing","The Quacks of Quedlinburg","2","4","45","45","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Quiddler","339","1.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57831232","5.84404","6.10548","1.4273","3618","7778","thing","Quiddler","1","8","30","30","30","1998","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Raptor","177639","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57824817","6.96734","7.28084","2.0737","448","13602","thing","Raptor","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rattlebones","150146","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57832662","5.86408","6.48173","1.5636","3442","1737","thing","Rattlebones","2","4","30","30","15","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Red Dragon Inn","24310","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829626","6.27031","6.56444","1.6532","1635","12935","thing","The Red Dragon Inn","2","4","45","45","45","2007","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Resistance","41114","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828070","7.11785","7.24947","1.6022","319","59932","thing","The Resistance","5","10","30","30","30","2009","5,6,7,8,9,10","7","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Resistance: Avalon","128882","6","","0","1","0","0","0","0","0","0","0","3","","","","","","52754161","7.36736","7.54814","1.7577","163","43027","thing","The Resistance: Avalon","5","10","30","30","30","2012","5,6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Rhino Hero: Super Battle","218333","8","","0","1","0","0","0","0","0","0","0","3","","","","","","97147663","6.7301","7.25889","1.1194","722","8405","thing","Rhino Hero: Super Battle","2","4","20","20","10","2017","2,3,4","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Rising 5: Runes of Asteros","185196","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824694","5.99709","6.53342","1.9032","2664","2979","thing","Rising 5: Runes of Asteros","1","5","25","25","15","2017","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Robot Turtles","147370","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828172","5.68492","5.97181","1.3514","5422","3587","thing","Robot Turtles","2","5","15","15","15","2013","2,3,4","3,4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur","9220","6","","0","1","0","0","0","0","0","0","0","1","","","","","","57833456","6.44201","6.5572","1.3245","1225","47804","thing","Saboteur","3","10","30","30","30","2004","5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Say Anything","33604","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57829564","6.41711","6.72337","1.0916","1270","10036","thing","Say Anything","3","8","30","30","30","2008","4,5,6,7,8","6,7,8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Schotten Totten","372","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","90596266","7.02446","7.33352","1.7166","397","15443","thing","Schotten Totten","2","2","20","20","20","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrimish Card Game","189890","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832791","5.54806","5.92796","1.125","10902","1024","thing","Scrimish Card Game","2","999","100","100","10","2015","2,3,4,5","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Secret Hitler","188834","4","","0","1","0","0","0","0","0","0","0","1","","","","","","57829414","7.28127","7.5306","1.6723","209","31886","thing","Secret Hitler","5","10","45","45","45","2016","6,7,8,9,10","8,10","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sentinels of the Multiverse","102652","3","","0","1","0","0","0","0","0","0","0","3","","","","","","57832720","6.92912","7.17881","2.5062","495","21921","thing","Sentinels of the Multiverse","2","5","60","60","30","2011","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Shadows over Camelot","15062","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824904","6.96047","7.10835","2.5667","456","32861","thing","Shadows over Camelot","3","7","80","80","60","2005","4,5,6,7","5,6,7","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Shark Island","197909","3.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829384","5.47659","5.25359","2.75","21399","412","thing","Shark Island","2","5","60","60","30","2017","4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sheriff of Nottingham","157969","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824779","6.98344","7.10703","1.6557","427","49308","thing","Sheriff of Nottingham","3","5","60","60","60","2014","3,4,5","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","2511","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828136","7.45999","7.68233","2.6732","126","36984","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","1982","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57829348","7.01581","7.20017","1.1265","402","27570","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Smash Up","122522","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824797","6.55792","6.72155","2.063","1008","42224","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Sonar","231819","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57824702","6.04025","6.71692","1.92","2449","4550","thing","Sonar","2","4","30","30","30","2017","2,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall","166384","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57828128","6.69879","6.82728","1.2369","778","27404","thing","Spyfall","3","8","15","15","15","2014","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Trek Panic","193737","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828195","6.21096","6.99265","2.1304","1806","3830","thing","Star Trek Panic","1","6","90","90","90","2016","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Empire vs. Rebellion","160964","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829360","5.87851","6.288","1.7442","3331","4598","thing","Star Wars: Empire vs. Rebellion","2","2","60","60","60","2014","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","6","","0","1","0","0","0","0","0","0","0","1","","","","","","62701478","7.70476","7.98635","3.3032","55","38762","thing","Star Wars: Imperial Assault","1","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
