outfoxed!	9	6.5446	2014	2	20
pandemic	6	7.4691	2008	2	45
pandemic_legacy:_season_1	5.5	8.42471	2015	2	60
pandemic_legacy:_season_2	6	7.76516	2017	2	60
parfum	4.5	5.9493	2015	2	45
paris:_la_cita_de_la_lumiare	7	6.65671	2019	2	30
patchwork	6	7.51815	2014	2	30
perudo	5.5	6.72013	1800	2	30
phantom_ink	9	5.65471	2022	4	15
piece_of_pie	7	5.55374	2020	2	15
power_grid:_the_card_game	5.5	6.10116	2016	2	60
pups	6	5.60807	2016	2	30
pyramid_arcade	8.5	6.13927	2016	1	180
pyramid_poker	7	5.77492	2017	2	30
the_quacks_of_quedlinburg	8	7.69398	2018	2	45
quiddler	1.5	5.84404	1998	1	30
raptor	9	6.96734	2015	2	30
rattlebones	7	5.86408	2014	2	30
the_red_dragon_inn	5.5	6.27031	2007	2	45
the_resistance	5	7.11785	2009	5	30
the_resistance:_avalon	6	7.36736	2012	5	30
rhino_hero:_super_battle	8	6.7301	2017	2	20
rising_5:_runes_of_asteros	6.5	5.99709	2017	1	25
robot_turtles	7.5	5.68492	2013	2	15
saboteur	6	6.44201	2004	3	30
say_anything	7	6.41711	2008	3	30
schotten_totten	6.5	7.02446	1999	2	20
scrimish_card_game	5.5	5.54806	2015	2	100
secret_hitler	4	7.28127	2016	5	45
sentinels_of_the_multiverse	3	6.92912	2011	2	60
shadows_over_camelot	7.5	6.96047	2005	3	80
shark_island	3.5	5.47659	2017	2	60
sheriff_of_nottingham	7	6.98344	2014	3	60
sherlock_holmes_consulting_detective:_the_thames_murders_&_other_cases	7	7.45999	1982	1	120
skull	10	7.01581	2011	3	45
smash_up	6	6.55792	2012	2	45
sonar	7	6.04025	2017	2	30
spyfall	8	6.69879	2014	3	15
star_trek_panic	5	6.21096	2016	1	90
star_wars:_empire_vs._rebellion	5	5.87851	2014	2	60
star_wars:_imperial_assault	6	7.70476	2014	1	120
star_wars:_x-wing_miniatures_game_the_force_awakens_core_set	5	6.87779	2015	2	45
survive:_escape_from_atlantis!	9	7.13372	1982	2	60
sushi_go_party!	6.5	7.26922	2016	2	20
sushi_go!	6.5	6.91861	2013	2	15
sushi_roll	8	6.5061	2019	2	20
t.i.m.e_stories	7	7.27814	2015	2	90
takenoko	6	7.1159	2011	2	45
targi	9	7.4411	2012	2	60
telestrations	7.5	7.16364	2009	4	30
terraforming_mars	6.5	8.2556	2016	1	120
three-dragon_ante:_emperor's_gambit	4	5.76405	2010	2	30
ticket_to_ride	6	7.29724	2004	2	60
ticket_to_ride:_new_york	7.5	6.58979	2018	2	15
tides_of_time	5.5	6.38473	2015	2	20
timeline:_inventions	6	6.45657	2010	2	15
tiny_epic_defenders	7	5.94553	2015	1	30
tiny_epic_dinosaurs	0	6.5676	2020	1	60
tiny_epic_galaxies	9.5	7.1455	2015	1	45
tiny_epic_western	7	6.25312	2016	1	45
tiny_epic_zombies	6	6.49448	2018	1	45
tsuro	5.5	6.54513	2005	2	20
unlock!:_escape_adventures_squeek_&_sausage	8	6.53276	2017	1	75
unlock!:_escape_adventures_the_formula	6.5	6.41725	2017	1	75
unlock!:_escape_adventures_the_island_of_doctor_goorse	0	6.10827	2017	2	60
unlock!:_mystery_adventures_the_house_on_the_hill	8.5	6.30127	2017	1	60
unlock!:_mystery_adventures_the_nautilus'_traps	8	5.74628	2017	1	60
unlock!:_mystery_adventures_the_tonipal's_treasure	0	6.27256	2017	1	60
unlock!:_secret_adventures_a_noside_story	6.5	6.12457	2018	1	60
via_magica	7	6.01298	2020	2	30
via_nebula	7.5	6.57868	2016	2	60
viticulture_essential_edition	10	7.88207	2015	1	90
welcome_to_the_dungeon	7.5	6.42432	2013	2	30
welcome_to...	8.5	7.41647	2018	1	25
werewords	6	6.64429	2017	4	10
western_legends	0	7.21272	2018	2	90
when_i_dream	5.5	6.57188	2016	4	40
wits_&_wagers_family	8	6.23826	2010	3	20
wobble_king	6.5	5.50993	2018	2	15
yeti_in_my_spaghetti	5	5.41244	2015	2	15
zombie_dice	6.5	6.08357	2010	2	20
