10_minute_heist:_the_wizard's_tower	2017	6	5.87304	5	10
1st_&_goal	2011	7.5	6.02351	4	150
7_wonders_duel	2015	8	7.97914	2	30
adventure_time:_love_letter	2015	6.5	6.3181	4	20
arkham_horror:_the_card_game	2016	9.5	7.92726	2	120
arkham_horror:_the_card_game_â€“_return_to_the_night_of_the_zealot	2018	3	6.09202	2	120
arkham_horror:_the_card_game_â€“_the_dunwich_legacy:_expansion	2017	7	7.32741	2	120
arkham_horror:_the_card_game_â€“_the_forgotten_age:_expansion	2018	8	6.22352	4	120
arkham_horror:_the_card_game_â€“_the_path_to_carcosa:_expansion	2017	9	6.83716	2	120
bang!_the_dice_game	2013	7.5	6.81194	8	15
bargain_quest	2017	7	6.36089	6	60
betrayal_at_baldur's_gate	2017	0	6.46812	6	60
betrayal_at_house_on_the_hill	2004	7.5	6.85897	6	60
biblios	2007	6.5	7.02314	4	30
blood_rage	2015	10	7.81944	4	90
blood_rage:_5th_player_expansion	2015	7.5	6.99227	5	90
blood_rage:_gods_of_Ã¡sgard	2015	6	6.6996	4	90
bottom_of_the_9th	2015	5.5	6.20482	2	20
camel_up_(second_edition)	2018	10	6.97792	8	45
captain_sonar	2016	7	7.35578	8	60
carcassonne	2000	7	7.30966	5	45
carcassonne:_the_dice_game	2011	1	5.29778	5	10
castellion	2015	7	6.24586	2	30
castle_panic	2009	8	6.49613	6	60
castle_panic:_the_wizard's_tower	2011	7	6.80418	6	90
the_chameleon	2017	6.5	6.139	8	15
chronicles_of_crime	2018	7	7.38286	4	90
claustrophobia	2009	5.5	7.10623	2	45
cockroach_poker	2004	9	6.49849	6	20
codenames	2015	5.5	7.53283	8	15
codenames:_disney_family_edition	2017	5.5	6.12012	8	15
codenames:_duet	2017	6.5	7.34969	99	30
codenames:_pictures	2016	4	7.08324	8	15
codinca	2012	5	5.70713	4	30
colt_express	2014	7.5	6.99098	6	40
colt_express:_horses_&_stagecoach	2015	6	6.59137	6	60
comanauts	2019	8.5	5.70522	4	120
concept	2013	8	6.67318	12	40
the_crew:_the_quest_for_planet_nine	2019	8	7.74143	5	20
cribbage	1630	9.5	6.77793	4	30
dead_of_winter:_the_long_night	2016	7	7.22198	5	120
deception:_murder_in_hong_kong	2014	6.5	7.28646	12	20
diamant	2005	8	6.69863	8	30
dice_town	2009	10	6.59374	5	45
dice_town:_wild_west	2011	8	6.20338	6	60
dixit	2008	6	7.14994	6	30
don't_get_got!	2018	0	5.91932	10	1440
draftosaurus	2019	7.5	6.73003	5	15
dragonfire	2017	7	6.39944	6	90
drop_it	2018	6	6.30443	4	30
duelosaur_island	2018	7	6.5544	2	45
dungeon_roll	2013	6	5.96907	4	15
dungeons_&_dragons:_adventure_begins	2020	7	5.56442	4	0
dungeons_&_dragons:_castle_ravenloft_board_game	2010	8	6.66375	5	60
dungeons_&_dragons:_the_legend_of_drizzt_board_game	2011	6.5	6.76875	5	60
dungeons_&_dragons:_wrath_of_ashardalon_board_game	2011	6.5	6.69317	5	60
elder_sign	2011	6.5	6.82795	8	90
elder_sign:_gates_of_arkham	2015	7	6.86042	8	90
elder_sign:_omens_of_ice	2016	5	6.27483	8	90
elder_sign:_omens_of_the_deep	2017	5	6.09826	8	90
en_garde	1993	4	5.98939	2	30
ethnos	2017	10	7.1862	6	60
famiglia	2010	5	6.11848	2	30
fast_forward:_fear	2017	4	5.77122	5	15
felicity:_the_cat_in_the_sack	2007	7.5	6.30297	5	20
fireball_island:_the_curse_of_vul-kar	2018	6.5	6.48297	4	60
firefly:_shiny_dice	2015	4.5	5.48175	5	30
flash_point:_fire_rescue	2011	6.5	7.051	6	45
flick_'em_up!:_dead_of_winter	2017	6.5	6.05281	10	45
for_sale	1997	10	7.10593	6	30
forbidden_desert	2013	8.5	7.01016	5	45
forbidden_island	2010	6	6.69753	4	30
forbidden_sky	2018	6.5	6.12245	5	60
friday	2011	7	6.97163	1	25
fuji_flush	2016	7	6.14051	8	20
fury_of_dracula_(third/fourth_edition)	2015	8	7.22442	5	180
get_bit!	2007	6	6.00071	6	20
ghostbusters:_protect_the_barrier_game	2016	6	5.64182	4	30
the_godfather:_corleone's_empire	2017	7.5	7.06493	5	90
good_cop_bad_cop	2014	7	6.23464	8	20
the_grizzled	2015	5.5	6.98069	5	30
the_grizzled:_at_your_orders!	2016	7.5	6.70603	5	30
groundhog_day:_the_game	2021	7.5	0	6	25
guillotine	1998	5.5	6.40896	5	30
hanabi	2010	1.5	6.99133	5	25
happy_salmon	2016	8	6.38859	6	2
hit_z_road	2016	7.5	6.332	4	60
hive	2000	6	7.18788	2	20
hms_dolores	2016	7	5.7877	4	20
horrified	2019	8	7.30006	5	60
icecool	2016	7	6.5967	4	30
jamaica	2007	7	6.89	6	60
jaws	2019	7	6.61606	4	60
just_one	2018	10	7.34103	7	20
kaosball:_the_fantasy_sport_of_total_domination	2014	6	5.87028	4	60
kero	2018	0	6.0394	2	30
king_of_new_york	2014	9	6.77881	6	40
king_of_tokyo	2011	8	7.0907	6	30
king_of_tokyo:_power_up!	2012	9	7.31884	6	30
kingdomino	2016	6	7.22823	4	15
kingsport_festival	2014	8	6.17578	5	90
libertalia	2012	9	6.96365	6	60
lost_cities	1999	8	7.07963	2	30
love_letter	2012	6.5	7.14277	4	20
love_letter_premium	2016	7	6.90328	8	30
magic_maze	2017	5.5	6.88846	8	15
mansions_of_madness:_second_edition	2016	8.5	7.82167	5	180
memoir_'44	2004	9	7.39049	8	60
mental_blocks	2019	6	5.81762	9	20
metro_x	2018	8	6.08967	99	20
the_mind	2018	7.5	6.77816	4	15
my_first_castle_panic	2019	6	5.69439	4	20
my_little_scythe	2017	9	6.78356	6	60
mysterium	2015	8	7.17054	7	42
mythe	2012	6	5.61386	5	20
new_york_slice	2017	7.5	6.32201	6	30
no_thanks!	2004	7	6.93558	7	20
onirim_(second_edition)	2014	6	6.80547	2	15
outfoxed!	2014	9	6.4752	4	15
pandemic	2008	6	7.50792	4	45
pandemic_legacy:_season_1	2015	5.5	8.46356	4	60
pandemic_legacy:_season_2	2017	6	7.81761	4	60
pandemic:_in_the_lab	2013	8	7.24906	6	60
pandemic:_on_the_brink	2009	4	7.80329	5	45
parfum	2015	4.5	5.97075	4	45
paris:_la_citÃ©_de_la_lumiÃ¨re	2019	7	6.36449	2	30
patchwork	2014	6	7.54942	2	30
perudo	1800	5.5	6.72699	6	30
piece_of_pie	2020	7	5.53245	4	15
power_grid:_the_card_game	2016	5.5	6.14003	6	60
pups	2016	6	5.61276	5	30
pyramid_arcade	2016	8.5	6.1634	10	180
pyramid_poker	2017	7	5.81172	2	30
the_quacks_of_quedlinburg	2018	8	7.62746	4	45
quiddler	1998	1.5	5.83188	8	30
raptor	2015	9	7.01278	2	30
rattlebones	2014	7	5.8886	4	30
the_red_dragon_inn	2007	5.5	6.28632	4	45
the_resistance	2009	5	7.15876	10	30
the_resistance:_avalon	2012	6	7.40266	10	30
rising_5:_runes_of_asteros	2017	6.5	6.0237	5	25
robot_turtles	2013	7.5	5.68885	5	15
saboteur	2004	6	6.46445	10	30
say_anything	2008	7	6.45557	8	30
scrimish_card_game	2015	5.5	5.54044	999	100
secret_hitler	2016	4	7.29898	10	45
sentinels_of_the_multiverse	2011	3	6.98695	5	60
shadows_over_camelot	2005	7.5	6.97667	7	80
shark_island	2017	3.5	5.48375	5	60
sheriff_of_nottingham	2014	7	7.02292	5	60
