name	gibbonsrating	baverage	avgweight	yearpublished	bggbestplayers
Libertalia	9	6.91302	2.2395	2012	4
Lost Cities	8	7.11995	1.4832	1999	2
Love Letter	6.5	7.12902	1.1869	2012	4
Love Letter: Adventure Time	6.5	6.27378	1.0667	2015	4
Love Letter: Premium Edition	7	6.89902	1.3267	2016	4,5,6
Magic Maze	5.5	6.81564	1.7731	2017	4
Mansions of Madness: Second Edition	9	7.73646	2.6701	2016	3,4
Memoir '44	9	7.35992	2.2748	2004	2
Metro X	8	6.27221	1.7619	2018	1,2
MicroMacro: Crime City	9	7.27201	1.1111	2020	2
The Mind	7.5	6.66159	1.074	2018	4
My First Castle Panic	6	5.76015	1.0952	2019	3
My Little Scythe	9	6.76278	2	2017	4
My Very First Games: Rhino Hero Junior	7	5.51981	1	2020	2
Mysterium	6.5	7.10091	1.9065	2015	5,6
Mythe	6	5.58536	1.3846	2012	4
New York Slice	7.5	6.27926	1.4444	2017	4
No Thank You, Evil!	7.5	5.74214	1.7	2016	3,4
No Thanks!	7	6.94825	1.1347	2004	4,5
Onirim (Second Edition)	6	6.76553	1.583	2014	1
Outfoxed!	9	6.57072	1.1091	2014	3,4
Pandemic	6	7.44566	2.4025	2008	4
Pandemic Legacy: Season 1	5.5	8.38979	2.8322	2015	4
Pandemic Legacy: Season 2	7	7.74013	3.2483	2017	4
Pandemic: In the Lab	8	7.1726	2.8951	2013	4
Pandemic: On the Brink	4	7.74643	2.6553	2009	4
Paris: La Cit̩ de la Lumi̬re	0	6.70621	2.0459	2019	2
Patchwork	6	7.50141	1.6072	2014	2
Perudo	5.5	6.71173	1.2587	1800	5,6
Phantom Ink	9	5.85268	1.125	2022	6
Piece of Pie	7	5.55674	1.5	2020	2
Power Grid: The Card Game	5.5	6.08548	2.4167	2016	4,5
Pups	6	5.60783	1.5	2016	4
Pyramid Arcade	8.5	6.12852	2.3077	2016	2,4
Pyramid Poker	8	5.75568	1.25	2017	2
The Quacks of Quedlinburg	8.5	7.69401	1.9509	2018	4
Quiddler	1.5	5.84655	1.4234	1998	4
Raptor	9	6.94116	2.0644	2015	2
Rattlebones	7	5.84451	1.5714	2014	4
The Red Dragon Inn	5.5	6.26536	1.6614	2007	4
The Resistance: Avalon	6	7.34736	1.7463	2012	7,8
Rhino Hero: Super Battle	8	6.73098	1.1096	2017	3,4
Rising 5: Runes of Asteros	6.5	5.98559	1.9032	2017	2
Robot Turtles	7.5	5.67726	1.3421	2013	4
Saboteur	6	6.43348	1.3221	2004	7,8
Sagrada	9	7.34236	1.9233	2017	2
San Juan (Second Edition)	8.5	7.0375	2.0909	2014	3
Say Anything	7	6.39664	1.0909	2008	6,7,8
Schotten Totten	6.5	7.04024	1.7107	1999	2
Scrimish Card Game	5.5	5.53971	1.125	2015	4
Secret Hitler	4	7.27433	1.6948	2016	8,10
Sentinels of the Multiverse	3	6.90263	2.5115	2011	4
Shadows over Camelot	7.5	6.94942	2.5673	2005	5,6,7
Shark Island	3.5	5.47566	2.6	2017	4,5
Sheriff of Nottingham	7	6.95742	1.6543	2014	5
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases	7	7.42961	2.6751	1982	2
Skull	10	7.02212	1.1178	2011	5,6
Sonar	7	6.03539	1.8889	2017	4
SOS Dino	6	5.83531	1.0714	2018	4
Spirit Island	8.5	8.15317	4.0618	2017	2
Spirit Island: Branch & Claw	7	7.96932	4.2139	2017	2
Spirit Island: Feather & Flame	7	6.09598	4.5385	2022	2,3
Spirit Island: Jagged Earth	8	7.97318	4.5531	2020	2,3
Spyfall	8	6.66745	1.2378	2014	6
